topic|phrase
environment|pilot plant
environment|plant built
environment|plant close
environment|plant construct
environment|plant corpor
environment|plant crop
environment|plant equip
environment|plant facil
environment|plant locat
environment|plant oper
environment|plant produc
environment|process plant
environment|steam plant
environment|treatment plant
environment|war plant
environment|address fundament
environment|basic fundament
environment|consum madam
environment|damag award
environment|damag caus
environment|damag destroy
environment|damag done
environment|damag nation
environment|damag result
environment|econom damag
environment|fundament chang
environment|fundament differ
environment|fundament flaw
environment|fundament freedom
environment|fundament human
environment|fundament import
environment|fundament issu
environment|fundament principl
environment|fundament problem
environment|fundament purpos
environment|fundament question
environment|fundament reform
environment|fundament right
environment|fundament wrong
environment|great damag
environment|legisl madam
environment|notr dame
environment|one fundament
environment|properti damag
environment|punit damag
environment|repair damag
environment|right fundament
environment|saddam hussein
environment|serious damag
environment|sever damag
environment|think fundament
environment|time madam
environment|trebl damag
environment|fraud wast
environment|wast fraud
environment|wast govern
environment|wast spend
environment|wast taxpay
environment|wast time
environment|american soil
environment|fertil soil
environment|foreign soil
environment|aerospac industri
environment|multipl sclerosi
environment|presid signatur
environment|safeti environment
environment|labor environment
environment|actual damag
environment|amend madam
environment|bill madam
environment|brain damag
environment|caus damag
environment|compensatori damag
environment|fundament unfair
environment|loss damag
environment|make fundament
environment|remov saddam
environment|supplement supplant
environment|privat plant
environment|plant industri
environment|safeti environ
environment|environment safeti
environment|govern plant
environment|take plant
environment|product soil
environment|damag economi
environment|potenti damag
environment|war damag
environment|econom climat
environment|econom environ
environment|dollar wast
environment|elimin wast
environment|go wast
environment|govern wast
environment|wast extravag
environment|wast feder
environment|wast ineffici
environment|wast bill
environment|wast abus
environment|wast polici
environment|conserv estim
environment|conserv liber
environment|conserv measur
environment|fiscal conserv
environment|liber conserv
environment|nation conserv
environment|polici conserv
federalism|british govern
federalism|canadian govern
federalism|foreign govern
federalism|german govern
federalism|interest govern
federalism|intergovernment relat
federalism|japanes govern
federalism|mexican govern
federalism|soviet govern
federalism|turkish govern
federalism|chief execut
federalism|congress execut
federalism|execut agenc
federalism|execut agreement
federalism|execut depart
federalism|execut director
federalism|execut legisl
federalism|execut offic
federalism|execut order
federalism|regular appropri
federalism|regular armi
federalism|regular basi
federalism|accord statement
federalism|arab state
federalism|baltic state
federalism|identifi statement
federalism|impact statement
federalism|made statement
federalism|open statement
federalism|particular state
federalism|peopl state
federalism|percent state
federalism|permit state
federalism|statement distinguish
federalism|statement insert
federalism|statement just
federalism|statement record
federalism|statement refer
federalism|statement regard
federalism|two state
federalism|southern africa
federalism|admit union
federalism|credit union
federalism|european union
federalism|farmer union
federalism|labor union
federalism|soviet union
federalism|trade union
federalism|union pacif
federalism|union shop
federalism|union soviet
federalism|senior execut
federalism|russian feder
federalism|current state
federalism|financi statement
federalism|includ statement
federalism|public statement
federalism|statement administr
federalism|statement make
federalism|federalaid highway
federalism|unit statessoviet
federalism|agricultur state
federalism|bill feder
federalism|feder workforc
federalism|member union
federalism|disarma agenc
foreign|activ duti
foreign|cent duti
foreign|compensatori duti
foreign|countervail duti
foreign|devot duti
foreign|dutiabl list
foreign|duti perform
foreign|duti propos
foreign|duti respons
foreign|administr said
foreign|ago said
foreign|aid educ
foreign|aid highway
foreign|alreadi said
foreign|also said
foreign|benefit paid
foreign|bill said
foreign|came said
foreign|colleagu said
foreign|congress said
foreign|court said
foreign|econom aid
foreign|feder aid
foreign|financi aid
foreign|get paid
foreign|just said
foreign|leader said
foreign|legal aid
foreign|lie said
foreign|medicaid program
foreign|medicar medicaid
foreign|much said
foreign|paid feder
foreign|paid govern
foreign|paid tax
foreign|paid treasuri
foreign|peopl said
foreign|presid said
foreign|said act
foreign|said believ
foreign|said commiss
foreign|said compani
foreign|said court
foreign|said don
foreign|said done
foreign|said earlier
foreign|said floor
foreign|said go
foreign|said just
foreign|said know
foreign|said last
foreign|said look
foreign|said mani
foreign|said moment
foreign|said need
foreign|said one
